Key,Id,English(en),Hindi(hi)
That is not the best approach. Consider what might be restricting the water flow. Try focusing on a component that can get clogged over time.,2.94E+12,That is not the best approach. Consider what might be restricting the water flow. Try focusing on a component that can get clogged over time.,"यह सबसे अच्छा तरीका नहीं है। सोचें कि पानी के प्रवाह को क्या रोक सकता है। उस कॉम्पोनेन्ट  पर ध्यान 
केंद्रित करने की कोशिश करें जो समय के साथ अवरुद्ध हो सकता है।"
"Correct! A weak stream is often caused by a clogged filter. Removing, cleaning, and reinstalling it can help restore proper water flow.",2.95E+12,"Correct! A weak stream is often caused by a clogged filter. Removing, cleaning, and reinstalling it can help restore proper water flow.","सही! कमजोर धारा अक्सर एक अवरुद्ध फ़िल्टर के कारण होती है। इसे हटाकर, साफ करके और फिर से इनस्टॉल करके पानी का सही प्रवाह बहाल किया जा सकता है।"
Clean the Filter,2.96E+12,Clean the Filter,फ़िल्टर को साफ करें
Remove the Filter,2.96E+12,Remove the Filter,फ़िल्टर को निकालें
Locate the filter inside the control box behind the supply hose. Click on supply hose to remove it and click again for the filter.,2.96E+12,Locate the filter inside the control box behind the supply hose. Click on supply hose to remove it and click again for the filter.,कंट्रोल बॉक्स के अंदर सप्लाई होज़ के पीछे फ़िल्टर को ढूंढें। सप्लाई होज़ पर क्लिक करें ताकि इसे हटा सकें और फिर फ़िल्टर पर क्लिक करें।
Wipe the Filter,3.01E+12,Wipe the Filter,फ़िल्टर को पोंछें
Use the cloth to remove dirt and debris from the filter. Drag the cloth onto the filter to use it.,3.01E+12,Use the cloth to remove dirt and debris from the filter. Drag the cloth onto the filter to use it.,कपड़े का उपयोग करके फ़िल्टर से गंदगी और मलबा हटा लें। फ़िल्टर पर कपड़ा खींचकर इसका उपयोग करें।
Reinstall the Filter,3.05E+12,Reinstall the Filter,फ़िल्टर को फिर से इनस्टॉल करें
Place the cleaned filter back into the control box by clicking on it and then click again to tighten the supply hose.,3.05E+12,Place the cleaned filter back into the control box by clicking on it and then click again to tighten the supply hose.,"साफ किया हुआ फ़िल्टर को कंट्रोल बॉक्स में वापस रखें, इसके लिए फ़िल्टर पर क्लिक करें और फिर सप्लाई होज़ को कसने के लिए फिर से क्लिक करें।"
Success! You have fixed the Sensor Faucet!,3.18E+12,Success! You have fixed the Sensor Faucet!,सफलता! आपने सेंसर फॉसेट को फिक्स कर दिया
"This brings us to the end of the session. In this session, you have learned to troubleshoot a sensor faucet by identifying and resolving common issues. You covered key steps like checking AC wire and hose connections, replacing the battery if needed, and cleaning and reinstalling the filter to restore proper water flow.",3.19E+12,"This brings us to the end of the session. In this session, you have learned to troubleshoot a sensor faucet by identifying and resolving common issues. You covered key steps like checking AC wire and hose connections, replacing the battery if needed, and cleaning and reinstalling the filter to restore proper water flow.","यह सत्र समाप्ति की ओर बढ़ता है। इस सत्र में, आपने सेंसर फॉसेट की समस्या को हल करना सीखा, सामान्य समस्याओं की पहचान की और उन्हें ठीक किया। आपने महत्वपूर्ण कदमों को कवर किया जैसे कि एसी वायर  और होज़ कनेक्शनों की जांच करना, आवश्यकता होने पर बैटरी बदलना, और पानी के प्रवाह को सामान्य करने  के लिए फ़िल्टर को साफ करना और फिर से इनस्टॉल करना।"
SCORE,3.21E+12,SCORE,स्कोर
Min,3.21E+12,Min,मिन
CONGRATULATIONS,3.21E+12,Min,मिन
Hints,3.21E+12,Hints,हिंट्स
